year,service_center,title,initial,renew
2008,California Service Center,OCCUPATIONS IN MATHEMATICS,163,137
2008,California Service Center,"OCCUPATIONS IN MATHEMATICS AND PHYSICAL SCIENCES, N.E.C.",186,149
2008,California Service Center,OCCUPATIONS IN MEDICAL AND DENTAL TECHNOLOGY,77,115
2008,California Service Center,"OCCUPATIONS IN MEDICINE AND HEALTH, N.E.C.",125,129
2008,California Service Center,OCCUPATIONS IN METEOROLOGY,243,165
2008,California Service Center,"OCCUPATIONS IN MUSEUM, LIBRARY, & ARCHIVAL SCIENCES, N.E.C.",85,174
2008,California Service Center,OCCUPATIONS IN MUSIC,86,108
2008,California Service Center,OCCUPATIONS IN PHOTOGRAPHY,,44
2008,California Service Center,OCCUPATIONS IN PHYSICS,158,128
2008,California Service Center,OCCUPATIONS IN POLITICAL SCIENCE,135,32
2008,California Service Center,OCCUPATIONS IN PSYCHOLOGY,97,82
2008,California Service Center,"OCCUPATIONS IN RELIGION AND THEOLOGY, N.E.C.",83,75
2008,California Service Center,OCCUPATIONS IN SECONDARY SCHOOL EDUCATION,70,86
2008,California Service Center,OCCUPATIONS IN SOCIAL AND WELFARE WORK,123,98
2008,California Service Center,"OCCUPATIONS IN SOCIAL SCIENCES, N.E.C.",137,98
2008,California Service Center,OCCUPATIONS IN SOCIOLOGY,193,155
2008,California Service Center,OCCUPATIONS IN SYSTEM ANALYSIS AND PROGRAMMING,237,147
2008,California Service Center,OCCUPATIONS IN VOCATIONAL EDUCATION,70,76
2008,California Service Center,"OCCUPATIONS IN WRITING, N.E.C.",169,106
2008,California Service Center,OSTEOPATHS,215,71
2008,California Service Center,PERSONNEL ADMINISTRATION OCCUPATIONS,147,104
2008,California Service Center,PHARMACISTS,134,137
2008,California Service Center,PHYSICIANS AND SURGEONS,55,83
2008,California Service Center,PUBLIC ADMINISTRATION MANAGERS AND OFFICIALS,104,91
2008,California Service Center,PUBLIC RELATIONS MANAGEMENT OCCUPATIONS,162,92
2008,California Service Center,PURCHASING MANAGEMENT OCCUPATIONS,116,127
2008,California Service Center,RADIO OPERATORS,34,81
2008,California Service Center,RAILROAD CONDUCTORS,11,46
2008,California Service Center,REGISTERED NURSES,90,165
2008,California Service Center,SALES AND DISTRIBUTION MANAGEMENT OCCUPATIONS,141,92
2008,California Service Center,SERVICE INDUSTRY MANAGERS AND OFFICIALS,129,102
2008,California Service Center,"SOUND, FILM, AND VIDEOTAPE RECORDING, AND REPRODUCTION OCC.",75,69
2008,California Service Center,SURVEYING/CARTOGRAPHIC OCCUPATIONS,88,151
2008,California Service Center,THERAPISTS,139,126
2008,California Service Center,"TRANS, COMM, & UTILS INDUSTRY MANAGERS AND OFFICIALS",141,64
2008,California Service Center,VETERINARIANS,109,89
2008,California Service Center,WHOLESALE AND RETAIL TRADE MANAGERS AND OFFICIALS,66,103
2008,California Service Center,WRITERS,111,70
2008,Nebraska Service Center,OCCUPATIONS IN SYSTEM ANALYSIS AND PROGRAMMING,,273
2008,Texas Service Center,"OCCUPATIONS IN LIFE SCIENCES, N.E.C.",,11
2008,Vermont Service Center,"ACCOUNTANTS, AUDITORS, AND RELATED OCCUPATIONS",204,5344
2008,Vermont Service Center,ADVERTISING MANAGEMENT OCCUPATIONS,165,130
2008,Vermont Service Center,AERONAUTICAL ENGINEERING OCCUPATIONS,180,58
2008,Vermont Service Center,"AGENTS AND APPRAISERS, N.E.C.",931,42
2008,Vermont Service Center,AGRICULTURAL ENGINEERING OCCUPATIONS,159,90
2008,Vermont Service Center,AIRPLANE PILOTS AND NAVIGATORS,267,101
2008,Vermont Service Center,ARCHITECTURAL OCCUPATIONS,152,127
2008,Vermont Service Center,ARCHIVISTS,247,63
2008,Vermont Service Center,BUDGET AND MANAGEMENT SYSTEMS ANALYSIS OCCUPATIONS,215,136
2008,Vermont Service Center,CERAMIC ENGINEERING OCCUPATIONS,101,61
2008,Vermont Service Center,CHEMICAL ENGINEERING OCCUPATIONS,174,141
2008,Vermont Service Center,CIVIL ENGINEERING OCCUPATIONS,166,123
2008,Vermont Service Center,CLERGY,106,75
2008,Vermont Service Center,"COMMERCIAL ARTISTS: DESIGNERS & ILLUSTRATORS, GRAPHIC ARTS",130,105
2008,Vermont Service Center,"COMPUTER-RELATED OCCUPATIONS, N.E.C.",226,152
2008,Vermont Service Center,CONSTRUCTION INDUSTRY MANAGERS AND OFFICIALS,157,90
2008,Vermont Service Center,DENTISTS,99,98
2008,Vermont Service Center,DIETICIANS,92,105
2008,Vermont Service Center,"DRAFTERS, N.E.C.",77,150
2008,Vermont Service Center,"EDITORS: PUBLICATION, BROADCAST, AND SCRIPT",144,118
2008,Vermont Service Center,ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS,164,132
2008,Vermont Service Center,"ENVIRONMENTAL, PRODUCT, AND RELATED DESIGNERS",158,107
2008,Vermont Service Center,FASHION MODELS,141,56
2008,Vermont Service Center,"FINANCE, INSURANCE, AND REAL ESTATE MANAGERS AND OFFICALS",176,111
2008,Vermont Service Center,"FINE ARTISTS: PAINTERS, SCULPTORS, AND RELATED OCCUPATIONS",44,60
2008,Vermont Service Center,HOME ECONOMISTS AND FARM ADVISERS,65,61
2008,Vermont Service Center,INDUSTRIAL ENGINEERING OCCUPATIONS,193,94
2008,Vermont Service Center,"INSPECTORS AND INVESTIGATORS, MANAGERIAL & PUBLIC SERVICE",164,145
2008,Vermont Service Center,INTERPRETERS AND TRANSLATORS,197,105
2008,Vermont Service Center,INVALID CODE,48,79
2008,Vermont Service Center,JUDGES,714,6
2008,Vermont Service Center,LAWYERS,52092,143
2008,Vermont Service Center,LIBRARIANS,66,122
2008,Vermont Service Center,MANUFACTURING INDUSTRY MANAGERS AND OFFICIALS,120,92
2008,Vermont Service Center,MARINE ENGINEERING OCCUPATIONS,88,146
2008,Vermont Service Center,MECHANICAL ENGINEERING OCCUPATIONS,146,118
2008,Vermont Service Center,METALLURGY AND METALLURGICAL ENGINEERING OCCUPATIONS,130,168
2008,Vermont Service Center,MINING AND PETROLEUM ENGINEERING OCCUPATIONS,156,139
2008,Vermont Service Center,MINING INDUSTRY MANAGERS AND OFFICIALS,159,88
2008,Vermont Service Center,"MISC. PROFESSIONAL, TECHNICAL, & MANAGERIAL OCC.,N.E.C.",195,129
2008,Vermont Service Center,"MISCELLANEOUS MANAGERS AND OFFICIALS, N.E.C.",142,107
2008,Vermont Service Center,MUSEUM CURATORS AND RELATED OCCUPATIONS,86,126
2008,Vermont Service Center,NUCLEAR ENGINEERING OCCUPATIONS,141,112
2008,Vermont Service Center,"OCC. IN ARCHITECTURE, ENGINEERING, & SURVEYING, N.E.C.",139,122
2008,Vermont Service Center,"OCC. IN PRESCHOOL, PRIMARY SCHOOL, & KINDERGARTEN EDUCATION",129,94
2008,Vermont Service Center,"OCCUPATIONS IN ADMINISTRATIVE SPECIALIZATIONS, N.E.C.",186,112
2008,Vermont Service Center,OCCUPATIONS IN AGRICULTURAL SCIENCES,151,111
2008,Vermont Service Center,OCCUPATIONS IN ANTHROPOLOGY,1107,60
2008,Vermont Service Center,"OCCUPATIONS IN ART, N.E.C.",195,93
2008,Vermont Service Center,OCCUPATIONS IN ASTRONOMY,212,69
2008,Vermont Service Center,OCCUPATIONS IN ATHLETICS AND SPORTS,195,88
2008,Vermont Service Center,OCCUPATIONS IN BIOLOGICAL SCIENCES,164,141
2008,Vermont Service Center,OCCUPATIONS IN CHEMISTRY,134,117
2008,Vermont Service Center,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,183,171
2008,Vermont Service Center,OCCUPATIONS IN COMPUTER SYSTEM TECHNICAL SUPPORT,186,52320
2008,Vermont Service Center,OCCUPATIONS IN COMPUTER SYSTEM USER SUPPORT,145,87
2008,Vermont Service Center,OCCUPATIONS IN DANCING,118,85
2008,Vermont Service Center,OCCUPATIONS IN DATA COMMUNICATIONS AND NETWORKS,241,158
2008,Vermont Service Center,OCCUPATIONS IN DRAMATICS,146,248
2008,Vermont Service Center,OCCUPATIONS IN ECONOMICS,221,135
2008,Vermont Service Center,OCCUPATIONS IN EDUCATION OF PERSONS WITH DISABILITIES,79,97
2008,Vermont Service Center,"OCCUPATIONS IN EDUCATION, N.E.C.",122,100
2008,Vermont Service Center,"OCCUPATIONS IN ENTERTAINMENT AND RECREATION, N.E.C.",98,92
2008,Vermont Service Center,OCCUPATIONS IN GEOLOGY,91,84
2008,Vermont Service Center,OCCUPATIONS IN HISTORY,51,72
2008,Vermont Service Center,"OCCUPATIONS IN LAW AND JURISPRUDENCE, N.E.C.",185,122
2008,Vermont Service Center,"OCCUPATIONS IN LIFE SCIENCES, N.E.C.",206,115
2008,Vermont Service Center,OCCUPATIONS IN MATHEMATICS,202,165
2008,Vermont Service Center,"OCCUPATIONS IN MATHEMATICS AND PHYSICAL SCIENCES, N.E.C.",180,133
2008,Vermont Service Center,OCCUPATIONS IN MEDICAL AND DENTAL TECHNOLOGY,107,130
2008,Vermont Service Center,"OCCUPATIONS IN MEDICINE AND HEALTH, N.E.C.",155,134
2008,Vermont Service Center,OCCUPATIONS IN METEOROLOGY,300,99
2008,Vermont Service Center,"OCCUPATIONS IN MUSEUM, LIBRARY, & ARCHIVAL SCIENCES, N.E.C.",181,125
2008,Vermont Service Center,OCCUPATIONS IN MUSIC,179,103
2008,Vermont Service Center,OCCUPATIONS IN PHOTOGRAPHY,81,41
2008,Vermont Service Center,OCCUPATIONS IN PHYSICS,132,114
2008,Vermont Service Center,OCCUPATIONS IN POLITICAL SCIENCE,45,217
2008,Vermont Service Center,OCCUPATIONS IN PSYCHOLOGY,122,116
2008,Vermont Service Center,"OCCUPATIONS IN RELIGION AND THEOLOGY, N.E.C.",61,105
2008,Vermont Service Center,OCCUPATIONS IN SECONDARY SCHOOL EDUCATION,102,100
2008,Vermont Service Center,OCCUPATIONS IN SOCIAL AND WELFARE WORK,200,112
2008,Vermont Service Center,"OCCUPATIONS IN SOCIAL SCIENCES, N.E.C.",126,137
2008,Vermont Service Center,OCCUPATIONS IN SOCIOLOGY,265,46
2008,Vermont Service Center,OCCUPATIONS IN SYSTEM ANALYSIS AND PROGRAMMING,268,177
2008,Vermont Service Center,OCCUPATIONS IN VOCATIONAL EDUCATION,74,140
2008,Vermont Service Center,"OCCUPATIONS IN WRITING, N.E.C.",150,197
2008,Vermont Service Center,OSTEOPATHS,,172
2008,Vermont Service Center,PERSONNEL ADMINISTRATION OCCUPATIONS,198,134
2008,Vermont Service Center,PHARMACISTS,195,181
2008,Vermont Service Center,PHYSICIANS AND SURGEONS,69,81
2008,Vermont Service Center,PUBLIC ADMINISTRATION MANAGERS AND OFFICIALS,51,74
2008,Vermont Service Center,PUBLIC RELATIONS MANAGEMENT OCCUPATIONS,153,92
2008,Vermont Service Center,PURCHASING MANAGEMENT OCCUPATIONS,148,115
2008,Vermont Service Center,RADIO OPERATORS,,74
2008,Vermont Service Center,RAILROAD CONDUCTORS,8,89
2008,Vermont Service Center,REGISTERED NURSES,158,150
2008,Vermont Service Center,SALES AND DISTRIBUTION MANAGEMENT OCCUPATIONS,150,115
2008,Vermont Service Center,SERVICE INDUSTRY MANAGERS AND OFFICIALS,129,106
2008,Vermont Service Center,"SHIP CAPTAINS, MATES PILOTS, AND ENGINEERS",154,8
2008,Vermont Service Center,"SOUND, FILM, AND VIDEOTAPE RECORDING, AND REPRODUCTION OCC.",188,123
2008,Vermont Service Center,SURVEYING/CARTOGRAPHIC OCCUPATIONS,177,99
2008,Vermont Service Center,THERAPISTS,147,142
2008,Vermont Service Center,"TRANS, COMM, & UTILS INDUSTRY MANAGERS AND OFFICIALS",111,103
2008,Vermont Service Center,VETERINARIANS,94,128
2008,Vermont Service Center,WHOLESALE AND RETAIL TRADE MANAGERS AND OFFICIALS,107,70
2008,Vermont Service Center,WRITERS,205,82
2009,California Service Center,"ACCOUNTANTS, AUDITORS, AND RELATED OCCUPATIONS",155,119
2009,California Service Center,ADVERTISING MANAGEMENT OCCUPATIONS,138,100
2009,California Service Center,AERONAUTICAL ENGINEERING OCCUPATIONS,222,109
2009,California Service Center,"AGENTS AND APPRAISERS, N.E.C.",235,51
2009,California Service Center,AGRICULTURAL ENGINEERING OCCUPATIONS,72,43
2009,California Service Center,AIRPLANE PILOTS AND NAVIGATORS,150,75
2009,California Service Center,ARCHITECTURAL OCCUPATIONS,160,121
2009,California Service Center,ARCHIVISTS,29,38
2009,California Service Center,BUDGET AND MANAGEMENT SYSTEMS ANALYSIS OCCUPATIONS,146,123
2009,California Service Center,CERAMIC ENGINEERING OCCUPATIONS,25,91
2009,California Service Center,CHEMICAL ENGINEERING OCCUPATIONS,150,88
2009,California Service Center,CIVIL ENGINEERING OCCUPATIONS,124,105
2009,California Service Center,CLERGY,69,75
2009,California Service Center,"COMMERCIAL ARTISTS: DESIGNERS & ILLUSTRATORS, GRAPHIC ARTS",152,109
2009,California Service Center,"COMPUTER-RELATED OCCUPATIONS, N.E.C.",177,136
2009,California Service Center,CONSTRUCTION INDUSTRY MANAGERS AND OFFICIALS,82,91
2009,California Service Center,DENTISTS,66,75
2009,California Service Center,DIETICIANS,125,67
2009,California Service Center,"DRAFTERS, N.E.C.",30,64
2009,California Service Center,"EDITORS: PUBLICATION, BROADCAST, AND SCRIPT",96,112
2009,California Service Center,ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS,143,121
2009,California Service Center,"ENVIRONMENTAL, PRODUCT, AND RELATED DESIGNERS",144,77
2009,California Service Center,FASHION MODELS,87,91
2009,California Service Center,"FINANCE, INSURANCE, AND REAL ESTATE MANAGERS AND OFFICALS",135,101
2009,California Service Center,"FINE ARTISTS: PAINTERS, SCULPTORS, AND RELATED OCCUPATIONS",,113
2009,California Service Center,HOME ECONOMISTS AND FARM ADVISERS,87,14
2009,California Service Center,INDUSTRIAL ENGINEERING OCCUPATIONS,137,104
2009,California Service Center,"INSPECTORS AND INVESTIGATORS, MANAGERIAL & PUBLIC SERVICE",166,55
2009,California Service Center,INTERPRETERS AND TRANSLATORS,85,79
2009,California Service Center,INVALID CODE,104,108
2009,California Service Center,JUDGES,,21
2009,California Service Center,LAWYERS,100,108
2009,California Service Center,LIBRARIANS,74,75
2009,California Service Center,MANUFACTURING INDUSTRY MANAGERS AND OFFICIALS,139,95
2009,California Service Center,MARINE ENGINEERING OCCUPATIONS,78,42
2009,California Service Center,MECHANICAL ENGINEERING OCCUPATIONS,147,114
2009,California Service Center,METALLURGY AND METALLURGICAL ENGINEERING OCCUPATIONS,147,60
2009,California Service Center,MINING AND PETROLEUM ENGINEERING OCCUPATIONS,213,162
2009,California Service Center,MINING INDUSTRY MANAGERS AND OFFICIALS,26,27
2009,California Service Center,"MISC. PROFESSIONAL, TECHNICAL, & MANAGERIAL OCC.,N.E.C.",178,118
2009,California Service Center,"MISCELLANEOUS MANAGERS AND OFFICIALS, N.E.C.",142,93
2009,California Service Center,MUSEUM CURATORS AND RELATED OCCUPATIONS,133,119
2009,California Service Center,NO CODE PROVIDED OR ILLEGIBLE,114,94
2009,California Service Center,NUCLEAR ENGINEERING OCCUPATIONS,163,60
2009,California Service Center,"OCC. IN ARCHITECTURE, ENGINEERING, & SURVEYING, N.E.C.",162,113
2009,California Service Center,"OCC. IN PRESCHOOL, PRIMARY SCHOOL, & KINDERGARTEN EDUCATION",86,74
2009,California Service Center,"OCCUPATIONS IN ADMINISTRATIVE SPECIALIZATIONS, N.E.C.",162,112
2009,California Service Center,OCCUPATIONS IN AGRICULTURAL SCIENCES,111,98
2009,California Service Center,OCCUPATIONS IN ANTHROPOLOGY,55,151
2009,California Service Center,"OCCUPATIONS IN ART, N.E.C.",150,86
2009,California Service Center,OCCUPATIONS IN ASTRONOMY,79,218
2009,California Service Center,OCCUPATIONS IN ATHLETICS AND SPORTS,145,115
2009,California Service Center,OCCUPATIONS IN BIOLOGICAL SCIENCES,166,142
2009,California Service Center,OCCUPATIONS IN CHEMISTRY,149,116
2009,California Service Center,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,160,152
2009,California Service Center,OCCUPATIONS IN COMPUTER SYSTEM TECHNICAL SUPPORT,135,121
2009,California Service Center,OCCUPATIONS IN COMPUTER SYSTEM USER SUPPORT,97,64
2009,California Service Center,OCCUPATIONS IN DANCING,135,18
2009,California Service Center,OCCUPATIONS IN DATA COMMUNICATIONS AND NETWORKS,159,124
2009,California Service Center,OCCUPATIONS IN DRAMATICS,466,448
2009,California Service Center,OCCUPATIONS IN ECONOMICS,123,123
2009,California Service Center,OCCUPATIONS IN EDUCATION OF PERSONS WITH DISABILITIES,73,112
2009,California Service Center,"OCCUPATIONS IN EDUCATION, N.E.C.",134,89
2009,California Service Center,"OCCUPATIONS IN ENTERTAINMENT AND RECREATION, N.E.C.",98,121
2009,California Service Center,OCCUPATIONS IN GEOLOGY,185,144
2009,California Service Center,OCCUPATIONS IN HISTORY,276,123
2009,California Service Center,"OCCUPATIONS IN LAW AND JURISPRUDENCE, N.E.C.",113,79
2009,California Service Center,"OCCUPATIONS IN LIFE SCIENCES, N.E.C.",136,125
2009,California Service Center,OCCUPATIONS IN MATHEMATICS,193,140
2009,California Service Center,"OCCUPATIONS IN MATHEMATICS AND PHYSICAL SCIENCES, N.E.C.",180,119
2009,California Service Center,OCCUPATIONS IN MEDICAL AND DENTAL TECHNOLOGY,94,87
2009,California Service Center,"OCCUPATIONS IN MEDICINE AND HEALTH, N.E.C.",126,103
2009,California Service Center,OCCUPATIONS IN METEOROLOGY,259,176
2009,California Service Center,"OCCUPATIONS IN MUSEUM, LIBRARY, & ARCHIVAL SCIENCES, N.E.C.",67,56
2009,California Service Center,OCCUPATIONS IN MUSIC,74,68
2009,California Service Center,OCCUPATIONS IN PHOTOGRAPHY,26,93
2009,California Service Center,OCCUPATIONS IN PHYSICS,147,117
2009,California Service Center,OCCUPATIONS IN POLITICAL SCIENCE,83,72
2009,California Service Center,OCCUPATIONS IN PSYCHOLOGY,105,100
2009,California Service Center,"OCCUPATIONS IN RELIGION AND THEOLOGY, N.E.C.",91,86
2009,California Service Center,OCCUPATIONS IN SECONDARY SCHOOL EDUCATION,72,77
2009,California Service Center,OCCUPATIONS IN SOCIAL AND WELFARE WORK,114,104
2009,California Service Center,"OCCUPATIONS IN SOCIAL SCIENCES, N.E.C.",161,132
2009,California Service Center,OCCUPATIONS IN SOCIOLOGY,104,90
2009,California Service Center,OCCUPATIONS IN SYSTEM ANALYSIS AND PROGRAMMING,157,133
2009,California Service Center,OCCUPATIONS IN VOCATIONAL EDUCATION,74,64
2009,California Service Center,"OCCUPATIONS IN WRITING, N.E.C.",88,139
2009,California Service Center,OSTEOPATHS,23,152
2009,California Service Center,PERSONNEL ADMINISTRATION OCCUPATIONS,139,91
2009,California Service Center,PHARMACISTS,115,145
2009,California Service Center,PHYSICIANS AND SURGEONS,52,74
2009,California Service Center,PUBLIC ADMINISTRATION MANAGERS AND OFFICIALS,36,64
2009,California Service Center,PUBLIC RELATIONS MANAGEMENT OCCUPATIONS,96,107
2009,California Service Center,PURCHASING MANAGEMENT OCCUPATIONS,142,104
2009,California Service Center,RADIO OPERATORS,48,73
2009,California Service Center,RAILROAD CONDUCTORS,,84
2009,California Service Center,REGISTERED NURSES,127,117
2009,California Service Center,SALES AND DISTRIBUTION MANAGEMENT OCCUPATIONS,129,100
2009,California Service Center,SERVICE INDUSTRY MANAGERS AND OFFICIALS,137,80
2009,California Service Center,"SOUND, FILM, AND VIDEOTAPE RECORDING, AND REPRODUCTION OCC.",142,90
2009,California Service Center,SURVEYING/CARTOGRAPHIC OCCUPATIONS,44,59
2009,California Service Center,THERAPISTS,156,123
2009,California Service Center,"TRANS, COMM, & UTILS INDUSTRY MANAGERS AND OFFICIALS",88,84
2009,California Service Center,VETERINARIANS,137,102
2009,California Service Center,WHOLESALE AND RETAIL TRADE MANAGERS AND OFFICIALS,93,60
2009,California Service Center,WRITERS,106,115
2009,Texas Service Center,OCCUPATIONS IN SYSTEM ANALYSIS AND PROGRAMMING,,176
2009,Vermont Service Center,"ACCOUNTANTS, AUDITORS, AND RELATED OCCUPATIONS",168,145
2009,Vermont Service Center,ADVERTISING MANAGEMENT OCCUPATIONS,176,136
2009,Vermont Service Center,AERONAUTICAL ENGINEERING OCCUPATIONS,207,160
2009,Vermont Service Center,"AGENTS AND APPRAISERS, N.E.C.",65,39
2009,Vermont Service Center,AGRICULTURAL ENGINEERING OCCUPATIONS,69,94
2009,Vermont Service Center,AIRPLANE PILOTS AND NAVIGATORS,58,63
2009,Vermont Service Center,ARCHITECTURAL OCCUPATIONS,131,115
2009,Vermont Service Center,ARCHIVISTS,277,36
2009,Vermont Service Center,BUDGET AND MANAGEMENT SYSTEMS ANALYSIS OCCUPATIONS,164,132
2009,Vermont Service Center,CERAMIC ENGINEERING OCCUPATIONS,36,226
2009,Vermont Service Center,CHEMICAL ENGINEERING OCCUPATIONS,146,124
2009,Vermont Service Center,CIVIL ENGINEERING OCCUPATIONS,141,131
2009,Vermont Service Center,CLERGY,69,44
2009,Vermont Service Center,"COMMERCIAL ARTISTS: DESIGNERS & ILLUSTRATORS, GRAPHIC ARTS",133,113
2009,Vermont Service Center,"COMPUTER-RELATED OCCUPATIONS, N.E.C.",189,145
2009,Vermont Service Center,CONSTRUCTION INDUSTRY MANAGERS AND OFFICIALS,107,140
2009,Vermont Service Center,DENTISTS,77,70
2009,Vermont Service Center,DIETICIANS,128,73
2009,Vermont Service Center,"DRAFTERS, N.E.C.",148,75
2009,Vermont Service Center,"EDITORS: PUBLICATION, BROADCAST, AND SCRIPT",140,111
2009,Vermont Service Center,ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS,156,134
2009,Vermont Service Center,"ENVIRONMENTAL, PRODUCT, AND RELATED DESIGNERS",115,95
2009,Vermont Service Center,FASHION MODELS,120,50
2009,Vermont Service Center,"FINANCE, INSURANCE, AND REAL ESTATE MANAGERS AND OFFICALS",143,134
2009,Vermont Service Center,"FINE ARTISTS: PAINTERS, SCULPTORS, AND RELATED OCCUPATIONS",108,67
2009,Vermont Service Center,HOME ECONOMISTS AND FARM ADVISERS,2,79
2009,Vermont Service Center,INDUSTRIAL ENGINEERING OCCUPATIONS,132,118
2009,Vermont Service Center,"INSPECTORS AND INVESTIGATORS, MANAGERIAL & PUBLIC SERVICE",117,65
2009,Vermont Service Center,INTERPRETERS AND TRANSLATORS,178,91
2009,Vermont Service Center,INVALID CODE,99,131
2009,Vermont Service Center,JUDGES,,23
2009,Vermont Service Center,LAWYERS,170,151
2009,Vermont Service Center,LIBRARIANS,130,109
